name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Museum of Croydon,Central Library,Croydon Clocktower,Katharine Street,Croydon,http://www.museumofcroydon.com/,100022917682,E09000008,Fairfield,E05011468,532381.0001221001,165364.00012210011,-0.09793181334586268,51.37138430716383,11/13/2022
Museum of Writing,c/o Institute of English Studies,University of London Senate House,Malet Street,Camden,http://www.museumofwriting.co.uk/,5016035,E09000007,Bloomsbury,E05000129,529927.0001221001,181851.00012210011,-0.1271166876033612,51.520133027140396,11/13/2022
The Foundling Museum,40 Brunswick Square,NA,NA,Camden,http://www.foundlingmuseum.org.uk/,5002560,E09000007,King's Cross,E05000141,530403.0001221001,182378.00012210011,-0.12006407994067073,51.524759794575125,11/13/2022
Freud Museum,20 Maresfield Gardens,NA,NA,Camden,https://www.freud.org.uk/,5012934,E09000007,Frognal and Fitzjohns,E05000133,526482.0001221001,184855.00012210011,-0.1756692171178639,51.54791475159056,11/13/2022
Keats House,10 Keats Grove,Hampstead,NA,Camden,http://www.cityoflondon.gov.uk/keats,5015415,E09000007,Hampstead Town,E05000135,527108.0001221001,185666.00012210011,-0.16635185678295766,51.55506318286009,11/13/2022
British Museum,Great Russell Street,NA,NA,Camden,http://www.britishmuseum.org/,5027059,E09000007,Bloomsbury,E05000129,530086.0001221001,181669.00012210011,-0.12489323721873777,51.51846067038543,11/13/2022
2 Willow Road,Hampstead,NA,NA,Camden,https://www.nationaltrust.org.uk/2-willow-road,5032722,E09000007,Hampstead Town,E05000135,527019.0001221001,185841.00012210011,-0.16757183248871632,51.556656100869795,11/13/2022
British Library,96 Euston Road London,NW1 2DB ,NA,Camden,http://www.bl.uk/,5037737,E09000007,St. Pancras and Somers Town,E05000143,530019.0001221001,182893.00012210011,-0.12540663375542954,51.52947698734555,11/13/2022
Burgh House and Hampstead Museum,New End Square,Hampstead,NA,Camden,www.burghhouse.org.uk/,5067420,E09000007,Hampstead Town,E05000135,526606.0001221001,185944.00012210011,-0.17348958315681395,51.55767471077863,11/13/2022
Royal College of Physicians of London Museum,Library Archive and Museum Services,11 St Andrews Place,Regent’s Park,Camden,http://www.rcplondon.ac.uk/museum-and-garden,5069347,E09000007,Regent's Park,E05000142,528783.0001221001,182390.00012210011,-0.1434009128363048,51.52523946330214,11/13/2022
"Jewish Museum, London",Raymond Burton Hs,129-131 Albert Street,NA,Camden,http://www.jewishmuseum.org.uk/,5082327,E09000007,Camden Town with Primrose Hill,E05000130,528774.0001221001,183673.00012210011,-0.14306134313921962,51.53677277807203,11/13/2022
Wellcome Collection,183 Euston Road,NA,NA,Camden,http://www.wellcomecollection.org/,5083806,E09000007,Bloomsbury,E05000129,529550.0001221001,182426.00012210011,-0.13233652342150934,51.52538755920487,11/13/2022
Government Art Collection,Queen's Yard,179a Tottenham Court Rd,NA,Camden,www.gac.culture.gov.uk/,5087928,E09000007,Bloomsbury,E05000129,529492.0001221001,182023.00012210011,-0.13332035698875788,51.52177882342938,11/13/2022
The British Museum,Great Russell Street,NA,NA,Camden,http://www.britishmuseum.org/,5090682,E09000007,Bloomsbury,E05000129,530059.0001221001,181712.00012210011,-0.12526632844487084,51.51885335819482,11/13/2022
Fenton House,Hampstead Grove,Hampstead,NA,Camden,https://www.nationaltrust.org.uk/fenton-house-and-garden,5126160,E09000007,Hampstead Town,E05000135,526253.0001221001,186017.00012210011,-0.17855322763640655,51.558409959441974,11/13/2022
Sir John Soaneʼs Museum,13 Lincoln’s Inn Fields,NA,NA,Camden,http://www.soane.org/,5137612,E09000007,Holborn and Covent Garden,E05000138,530713.0001221001,181465.00012210011,-0.11593635110788342,51.516482429130974,11/13/2022
"Ben Uri Gallery, The Art Museum for Everyone, The London Jewish Museum of Art",108A Boundary Road,off Abbey Rd,St John’s Wood,Camden,www.benuri.org.uk,5144462,E09000007,Kilburn,E05000140,525949.0001221001,183631.00012210011,-0.18379098900502722,51.537032781529106,11/13/2022
"Grant Museum of Zoology and Comparative Anatomy, UCL",21 University Street,NA,NA,Camden,https://www.ucl.ac.uk/culture/grant-museum-zoology,5157295,E09000007,Bloomsbury,E05000129,529505.0001221001,182172.00012210011,-0.13307828622276366,51.523115008733654,11/13/2022
Petrie Museum of Egyptian Archaeology,University College London,Malet Place,NA,Camden,http://www.culture24.org.uk/se000386,5157395,E09000007,Bloomsbury,E05000129,529654.0001221001,182223.00012210011,-0.1309127849608576,51.5235391884587,11/13/2022
"Geology (and Teaching & Research) Collections, UCL",Rock Room,"Room 4, First Floor",South Wing,Camden,https://www.ucl.ac.uk/culture/geology-collection,5157402,E09000007,Bloomsbury,E05000129,529587.0001221001,182227.00012210011,-0.13187663040975917,51.52359051926899,11/13/2022
UCL Art Museum,South Cloisters,UCL,NA,Camden,http://www.ucl.ac.uk/museums/uclart,5157412,E09000007,Bloomsbury,E05000129,529599.0001221001,182272.00012210011,-0.13168718077841113,51.52399221105139,11/13/2022
Crystal Palace Museum,Anerley Hill,NA,NA,Bromley,www.crystalpalacemuseum.org.uk/,100023247277,E09000006,Crystal Palace,E05000116,533829.0001221001,170728.00012210011,-0.07511634411459826,51.41925428070396,11/13/2022
Cartoon Museum,35 Little Russell Street,NA,NA,Camden,http://www.cartoonmuseum.org/,5158052,E09000007,Holborn and Covent Garden,E05000138,530121.0001221001,181527.00012210011,-0.1244414636071606,51.51717636023896,11/13/2022
Central Saint Martins,Granary Building,1 Granary Square,Kings Cross,Camden,www.arts.ac.uk/csm/,5171310,E09000007,St. Pancras and Somers Town,E05000143,530176.0001221001,183615.00012210011,-0.12287737396397765,51.53592987406201,11/13/2022
House of Illustration,2 Granary Square King's Cross London,NA,NA,Camden,http://www.houseofillustration.org.uk/,5188521,E09000007,St. Pancras and Somers Town,E05000143,530176.0001221001,183615.00012210011,-0.12287737396397765,51.53592987406201,11/13/2022
V&A Museum of Childhood,Cambridge Heath Road,NA,NA,Tower Hamlets,http://www.museumofchildhood.org.uk/,6039165,E09000030,Bethnal Green,E05009317,535023.0001221001,182920.00012210011,-0.05329337508357474,51.52854503938148,11/13/2022
Ragged School Museum,46-50 Copperfield Road,NA,NA,Tower Hamlets,http://www.raggedschoolmuseum.org.uk/,6048400,E09000030,Mile End,E05009327,536387.0001221001,181800.00012210011,-0.0340738198414025,51.51815154635616,11/13/2022
The Tower of London,St Katharine's & Wapping,London,NA,Tower Hamlets,www.​hrp.​org.​uk/​TowerOfLondon/​,6086565,E09000030,St. Katharine's & Wapping,E05009330,533602.0001221001,180570.00012210011,-0.07465930400869981,51.50776272309512,11/13/2022
"Royal Armouries, Tower of London",HM Tower Of London,St Katharine's & Wapping,NA,Tower Hamlets,https://royalarmouries.org/visit-us/tower-of-london,6086565,E09000030,St. Katharine's & Wapping,E05009330,533602.0001221001,180570.00012210011,-0.07465930400869981,51.50776272309512,11/13/2022
The Fusilier Museum London,HM Tower of London,35 Tower Hill,St Katharine's & Wapping,Tower Hamlets,www.​fusiliermuseumlondon.​org,6086845,E09000030,St. Katharine's & Wapping,E05009330,533675.0001221001,180585.00012210011,-0.07360225196610123,51.50788026723918,11/13/2022
Royal London Hospital Archives and Museum,Church of St Augustine with St Philip,Newark Street,NA,Tower Hamlets,NA,6118397,E09000030,Whitechapel,E05009336,534671.0001221001,181598.00012210011,-0.05887062968323298,51.51674789657725,11/13/2022
Museum of the Royal Pharmaceutical Society,1 Lambeth High Street,NA,NA,Tower Hamlets,www.​rpsgb.​org/​museum,6136082,E09000030,Whitechapel,E05009336,534153.0001221001,180674.00012210011,-0.06668411283682348,51.50856684674658,11/13/2022
Museum of London Docklands,No. 1 Warehouse,West India Quay,NA,Tower Hamlets,http://www.museumoflondon.org.uk/docklands,6151122,E09000030,Canary Wharf,E05009323,537241.0001221001,180594.00012210011,-0.02224143220070886,51.50710620026317,11/13/2022
Trades Union Congress (TUC) Library Collections,Special Collections  London Metropolitan University,Wash Houses,Old Castle Street,Tower Hamlets,http://www.londonmet.ac.uk/tuc,6151239,E09000030,Spitalfields & Banglatown,E05009333,533736.0001221001,181408.00012210011,-0.07241146334830463,51.515262458673654,11/13/2022
Kelmscott House,26 Upper Mall,Hammersmith,NA,Hammersmith and Fulham,http://www.culture24.org.uk/se000423,34008094,E09000013,Ravenscourt Park,E05000261,522598.0001221001,178324.00012210011,-0.23393406722018686,51.49007024864064,11/13/2022
Fulham Palace,Fulham Palace,Bishop's Ave,Fulham,Hammersmith and Fulham,www.fulhampalace.org/,34022825,E09000013,Palace Riverside,E05000259,524062.0001221001,176130.00012210011,-0.213626421738981,51.47003084469054,11/13/2022
Wandle Industrial Museum,The Vestry Hall Annexe,London Road,Mitcham,Merton,http://www.wandle.org/,48083242,E09000024,Cricket Green,E05000458,527527.0001221001,168619.00012210011,-0.16646647826708308,51.40175159722133,11/13/2022
Museum of Wimbledon,22 Ridgway,Wimbledon,NA,Merton,http://www.wimbledonmuseum.org.uk/,48107954,E09000024,Village,E05000472,524089.3001098931,170880.00012210011,-0.21507483752632509,51.422836717174135,11/13/2022
Wimbledon Lawn Tennis Museum,The All England Lawn Tennis Club,Church Road,Wimbledon,Merton,http://www.wimbledon.com/museum,48129052,E09000024,Village,E05000472,524243.0001221001,172037.00012210011,-0.21245928139487935,51.4332024316239,11/13/2022
Barts Pathology Museum,3rd Floor,Robin Brook Centre  St Bartholomew's Hospital,West Smithfield,City and County of the City of London,www.qmul.ac.uk/pathologymuseum/,95512892,E09000001,Farringdon Without,E05009305,531855.9500731975,181567.30010989308,-0.09943359250929393,51.51713618643427,11/13/2022
St Bartholomews Hospital Museum,North Wing,St Bartholomew’s Hospital,West Smithfield,City and County of the City of London,https://www.bartshealth.nhs.uk/st-bartholomews-museum-and-archives,95512892,E09000001,Farringdon Without,E05009305,531855.9500731975,181567.30010989308,-0.09943359250929393,51.51713618643427,11/13/2022
Valence House Museum,Becontree Ave,NA,NA,Barking and Dagenham,www.​lbbd.​gov.​uk/​heritage,100002560,E09000002,Valence,E05000040,548043.0001221001,186539.00012210011,0.1358122523904588,51.55780231217146,11/13/2022
Dorich House Museum,Kingston University,67 Kingston Vale,NA,Kingston upon Thames,https://www.dorichhousemuseum.org.uk/,128010892,E09000021,Coombe Hill,E05000406,520834.0001221001,171913.00012210011,-0.2615238264287088,51.43282529857992,11/13/2022
Kingston Museum (and Heritage Service),W6 9TA,NA,NA,Kingston upon Thames,http://www.kingston.gov.uk/museum,128019799,E09000021,Grove,E05000408,518310.0001221001,169207.00012210011,-0.2987235432598365,51.4090347590914,11/13/2022
The Stephens Collection,Avenue House,East End Road,Finchley,Barnet,http://www.london-northwest.com/sites/stephens,200035687,E09000003,Finchley Church End,E05000051,525148.3801269978,190183.0601195991,-0.19299620462205125,51.596100364665986,11/13/2022
Royal Air Force Museum London (RAF),Grahame Park Way,Hendon,NA,Barnet,http://www.rafmuseum.org/,200049886,E09000003,Colindale,E05000046,522123.0001221001,190370.1000976935,-0.23659166081645194,51.5984456475647,11/13/2022
Barnet Museum (and Local History Society),31 Wood Street,Barnet,Hertfordshire,Barnet,www.barnetmuseum.co.uk,200128241,E09000003,Underhill,E05000060,524459.5401000977,196427.92010499537,-0.2007175892576655,51.652381084739545,11/13/2022
Museum of Domestic Design and Architecture,Middlesex University,9 Boulevard Drive,Beaufort Park,Barnet,http://www.culture24.org.uk/se000059,200141133,E09000003,Colindale,E05000046,521871.0001221001,190049.00012210011,-0.24034016230180377,51.59561415621596,11/13/2022
Brent Museum,Willesden Library Centre,95 High Rd,NA,Brent,https://www.brent.gov.uk/museum,202149110,E09000005,Willesden Green,E05000105,522904.0001221001,184570.00012210011,-0.22734960998030496,51.54614395884296,11/13/2022
Enfield Museum Service,Enfield Museum,The Dugdale Centre Thomas Hardy House,39 London Road,Enfield,http://www.enfield.gov.uk/museum,207007119,E09000010,Grange,E05000200,532849.2800902948,196356.66009519994,-0.07952724192430599,51.64982038687949,11/13/2022
Clockmakersʼ Museum,Exhibition Road,Kensington,NA,Kensington and Chelsea,http://www.clockmakers.org/,217031151,E09000020,Brompton & Hans Town,E05009389,526676.0001221001,179171.00012210011,-0.17491654615684135,51.496783994255615,11/13/2022
Leighton House Museum,12 Holland Park Road,NA,NA,Kensington and Chelsea,http://http/www.rbkc.gov.uk/subsites/museums.aspx,217039506,E09000020,Holland,E05009397,524826.0001221001,179269.00012210011,-0.20152150205942215,51.49807643556718,11/13/2022
Design Museum,224-238 Kensington High Street (Holland Park),NA,NA,Kensington and Chelsea,http://designmuseum.org/,217044656,E09000020,Holland,E05009397,525026.2700805962,179417.0800780952,-0.1985850832510422,51.499363119274626,11/13/2022
Kensington Palace (State Apartments and Royal Ceremonial Dress Collection),Kensington Palace/Palace Green,NA,NA,Kensington and Chelsea,http://www.hrp.org.uk%0Bwww.kensingtonpalace@hrp.org.uk/,217064431,E09000020,Campden,E05009390,525854.0001221001,180030.00012210011,-0.18644659013804485,51.50468831912584,11/13/2022
National Army Museum,Royal Hospital Road,Chelsea,NA,Kensington and Chelsea,http://www.nam.ac.uk/,217075883,E09000020,Royal Hospital,E05009403,527828.2700805962,177968.3900756985,-0.15876001904779358,51.48571566197465,11/13/2022
British Architectural Library – Drawings and Archives Collections,Victoria and Albert Museum,Cromwell Road,Knightsbridge,Kensington and Chelsea,https://www.architecture.com/about/riba-library-and-collections,217108016,E09000020,Brompton & Hans Town,E05009389,526982.1301269978,179134.8300780952,-0.17052141488136824,51.4963902060583,11/13/2022
Natural History Museum,Cromwell Road,NA,NA,Kensington and Chelsea,http://www.nhm.ac.uk/,217108017,E09000020,Brompton & Hans Town,E05009389,526652.0001221001,179089.00012210011,-0.17529157520280514,51.496052361043965,11/13/2022
Carlyle’s House,24 Cheyne Row,NA,NA,Kensington and Chelsea,https://www.nationaltrust.org.uk/carlyles-house,217110505,E09000020,Chelsea Riverside,E05009391,527184.0001221001,177719.00012210011,-0.16812482319115857,51.4836194495747,11/13/2022
The Science Museum,Exhibition Rd,Kensington,NA,Kensington and Chelsea,https://www.sciencemuseum.org.uk/,217118723,E09000020,Brompton & Hans Town,E05009389,526676.0001221001,179171.00012210011,-0.17491654615684135,51.496783994255615,11/13/2022
Victoria and Albert Museum,Cromwell Road,South Kensington,NA,Kensington and Chelsea,http://www.vam.ac.uk/,217119925,E09000020,Brompton & Hans Town,E05009389,526974.9000854939,179139.25012210011,-0.17062393282744104,51.49643155736966,11/13/2022
The Estorick Collection of Modern Italian Art,39A Canonbury Square,NA,NA,Islington,www.​estorickcollection.​com,5300016244,E09000019,St. Mary's,E05000379,531811.0001221001,184485.00012210011,-0.09898888267543711,51.54336953448509,11/13/2022
John Wesleyʼs House and The Museum of Methodism,Wesley's Chapel,49 City Road,NA,Islington,http://www.culture24.org.uk/se000445,5300019876,E09000019,Bunhill,E05000367,532808.0001221001,182253.00012210011,-0.08546051309956235,51.52307581774844,11/13/2022
"Wesley’s Chapel, Museum of Methodism and John Wesley’s House",49 City Road,NA,NA,Islington,http://www.wesleychapel.org.uk/,5300019879,E09000019,Bunhill,E05000367,532844.0001221001,182274.00012210011,-0.0849339348839189,51.52325608598946,11/13/2022
London Canal Museum,12/13 New Wharf Road,King’s Cross,NA,Islington,http://www.canalmuseum.org.uk/,5300066428,E09000019,Caledonian,E05000368,530471.0001221001,183376.00012210011,-0.11871455625086842,51.53371372199426,11/13/2022
Museum of the Order of St John,St John’s Gate,26 St John's Ln,NA,Islington,http://www.museumstjohn.org.uk/,5300085644,E09000019,Clerkenwell,E05000370,531740.0001221001,182040.00012210011,-0.1009271558019526,51.52141165130495,11/13/2022
Whitehall Historic House,1 Malden Road,Cheam,Surrey,Sutton,https://whitehallmuseum.wordpress.com/,5870019263,E09000029,Cheam,E05000560,524223.0001221001,163765.00012210011,-0.21564278593406136,51.35885564319895,11/13/2022
Little Holland House,40 Beeches Ave,Carshalton,NA,Sutton,http://www.sutton.gov.uk/,5870060822,E09000029,Carshalton South and Clockhouse,E05000559,527481.0001221001,163389.00012210011,-0.16900451727604776,51.35475421120119,11/13/2022
Honeywood Museum,Honeywood Walk,Carshalton,Surrey,Sutton,http://www.friendsofhoneywood.co.uk/,5870115967,E09000029,Carshalton Central,E05000558,527837.0001221001,164494.00012210011,-0.16349688154737613,51.364606059078156,11/13/2022
Tate Modern,Bankside,NA,NA,Southwark,http://www.tate.org.uk/modern,10000813334,E09000028,Borough & Bankside,E05011095,531999.0001221001,180455.00012210011,-0.09778944104236914,51.507105946087954,11/13/2022
Fashion and Textile Museum,83 Bermondsey Street London,NA,NA,Southwark,http://www.ftmlondon.org/,10000818830,E09000028,London Bridge & West Bermondsey,E05011104,533238.0001221001,179771.00012210011,-0.08020362914982261,51.500667710567775,11/13/2022
Musical Museum,399 High St,Brentford,NA,Hounslow,https://www.musicalmuseum.co.uk/,10001271544,E09000018,Brentford,E05000347,518604.3001098931,177932.00012210011,-0.2915684349391078,51.48739873608625,11/13/2022
